Tanggal,Penulis,Judul,Artikel,Label
" Kamis, 23 November 2023 16:24 WIB",Pewarta: Aloysius LewokedaEditor: Aditya Eko Sigit Wicaksono  COPYRIGHT © ANTARA 2023,Juara dayung Yunani Ntouskos pembawa obor pertama Olimpiade 2024,"     Jakarta (ANTARA) - Juara dayung Olimpiade Stefanos Ntouskos asal Yunani akan menjadi pembawa obor pertama yang akan memulai estafet obor Olimpiade dari Olympia ke Paris untuk Olimpiade 2024, demikian Komite Olimpiade Yunani (HOC).   Dilansir AFP, Kamis, upacara api Olimpiade akan berlangsung pada 16 April di situs kuno Olympia.   Ntouskos (26) yang menjadi pembawa obor pertama merupakan peraih medali emas dayung pertama Yunani ketika ia memenangi nomor sculss tunggal di Tokyo pada 2021.   Sekitar 600 pembawa obor akan membawa api Olimpiade dengan menempuh jarak sejauh 5.000 kilometer di sekitar Yunani, sebelum mencapai Stadion Panathenaic di Athena, tempat penyelenggaraan Olimpiade modern pertama pada 26 April 1896.   Atlet Yunani sebagai pembawa obor terakhir adalah para pemain tim polo air putra yang meraih perak di Tokyo.   Api Olimpiade itu kemudian akan meninggalkan Piraeus menuju Marseilles, Prancis, dengan diangkut kapal pelatihan layar tiga tiang, Belem, yang terdaftar sebagai monumen bersejarah.   Pelayaran tersebut dijadwalkan akan tiba di Prancis pada 8 Mei atau lebih dari dua setengah bulan sebelum dimulainya Olimpiade di Paris pada 26 Juli.   Presiden HOC Spyros Kapralos mengatakan Yunani dan Prancis dipersatukan oleh ikatan kerja sama dan solidaritas yang kuat.   ""Paris akan menjadi tuan rumah Olimpiade yang luar biasa dan menunjukkan kehebatan rakyat Prancis,"" ujarnya.   Estafet obor Olimpiade pertama berlangsung pada tahun 1936 ketika 3.000 pembawa obor mengirimkannya dari Olympia ke Berlin.  Baca juga: Majelis Umum PBB sahkan resolusi Gencatan Senjata Olimpiade  Baca juga: Veddriq alihkan fokus ke kualifikasi lain menuju Olimpiade Paris  Pewarta: Aloysius LewokedaEditor: Aditya Eko Sigit Wicaksono    COPYRIGHT © ANTARA 2023 ",olahraga
" Kamis, 23 November 2023 16:21 WIB",Pewarta: XinhuaEditor: Junaydi Suswanto  COPYRIGHT © ANTARA 2023,China dan ASEAN pererat persahabatan melalui kompetisi sepak takraw,"     Guizhou, China (ANTARA) - China dan negara-negara di kawasan Asia Tenggara (ASEAN) terus berupaya mempererat persahabatan dan kali ini melalui kompetisi sepak takraw bertajuk ASEAN Cup International Sepaktakraw Invitational Tournament 2023.   Ajang kompetisi olahraga tradisional negara-negara Asia Tenggara itu diselenggarakan di gimnasium Sekolah Tinggi Ilmu Pengetahuan Qiannan di Huishui, Prefektur Otonom Etnis Buyi dan Miao Qiannan, Provinsi Guizhou, China barat daya, dan baru saja berakhir pada Selasa (21/11) lalu.   Turnamen tersebut menarik minat lebih dari 60 atlet asal China, Malaysia, Indonesia, Laos, dan Vietnam yang bertanding selama empat hari untuk memperebutkan gelar juara sepak takraw beregu putra dan putri serta beregu tiga.   Dengan meraih dua emas dari empat emas yang diperebutkan, Indonesia menjadi juara umum di ajang ini. Pemain putra Indonesia, Muhammad Hardiansyah Muliang, tak kuasa mengungkapkan kegembiraannya.   ""Saya sangat senang bisa datang ke China dan membantu tim saya meraih dua medali emas. Atmosfer penonton di sini sangat bagus, yang memberikan kami semangat luar biasa selama kompetisi dan sangat membantu saya,"" ujar Muliang, seraya menambahkan bahwa dirinya berharap China akan mengadakan lebih banyak kompetisi serupa di masa depan untuk memperdalam hubungan emosional kedua negara.   Sepak takraw, atau dikenal juga sebagai ""bola voli kaki"", merupakan olahraga tradisional asal Asia Tenggara yang sebagian besar menggunakan kaki, tungkai, bahu, dan kepala untuk menyentuh bola.   Sepak takraw modern juga mengintegrasikan taktik sepak bola, bulu tangkis, akrobat, dan seni bela diri, serta merupakan olahraga yang indah, kompetitif dan membutuhkan keterampilan yang tinggi, yang selalu menghadirkan semangat dan hal-hal baru bagi para penontonnya.   ""Guizhou dan ASEAN dihubungkan oleh pegunungan dan lautan, dan kerja sama mereka dalam bidang pendidikan, budaya, pariwisata, olahraga, dan aspek lainnya telah diperdalam dalam beberapa tahun terakhir,"" ujar Jing Qiwei, Direktur Departemen Olahraga Massal Biro Olahraga Provinsi Guizhou, yang memperkenalkan bahwa turnamen tersebut bertujuan untuk mempererat hubungan persahabatan, serta mempromosikan pertukaran olahraga dan budaya di antara China dan negara-negara ASEAN.   Bagi Zhou Jipeng, seorang penonton berstatus pelajar, pengalaman pertama kali menyaksikan turnamen tersebut memungkinkannya belajar tentang ""peran pengikat"" sepak takraw di negara-negara ASEAN, dan berharap olahraga itu dapat membantu mempererat persahabatan antara China dan negara-negara ASEAN.   ""Saya belajar melalui kompetisi ini bahwa sepak takraw merupakan bahasa persatuan di negara-negara ASEAN. Saya berharap China dan ASEAN terus meningkatkan rasa saling pengertian dan memperdalam persahabatan melalui lebih banyak lagi kompetisi olahraga seperti sepak takraw,"" tambahnya.   Vu Thi Van Anh, anggota tim putri Vietnam yang memenangkan medali emas nomor beregu putri dalam kompetisi itu, merasa terkesan dengan antusiasme para penonton.   ""Saya suka dengan para penontonnya,"" ujarnya dengan penuh semangat, seraya menambahkan bahwa sorak-sorai penuh semangat dari penonton untuk para pemain di setiap pertandingan memberinya motivasi besar untuk berjuang di atas lapangan, serta membuat dia dan rekan-rekan setimnya merasa nyaman seperti berada di kandang sendiri.   Menurut Istiapriani, manajer tim Indonesia, China dan ASEAN terus memperkuat kerja sama yang mendalam di berbagai bidang seperti pendidikan, olahraga, dan budaya dalam beberapa tahun terakhir. Selain itu, hubungan di antara mereka kian mendalam.   ""Turnamen invitasi sepak takraw ini juga merupakan salah satu langkah yang diambil China untuk membantu mempromosikan hubungan persahabatan antara China dan ASEAN,"" ujar Istiapriyani, yang pernah berkunjung ke Kota Kunming di Provinsi Yunnan dan Jinhua di Provinsi Zhejiang itu.   Dia menambahkan bahwa jika China, Indonesia, dan negara-negara ASEAN lainnya terus memperluas pertukaran olahraga dan budaya untuk mempererat kerja sama, maka akan tercipta masa depan yang lebih baik bagi dunia.   Bagi Sounthone Khamsan, pelatih kepala tim putri Laos, dirinya berharap dapat datang ke China untuk mengikuti lebih banyak lagi kompetisi sepak takraw di masa mendatang.   ""Kita dapat melihat bahwa China berkembang dengan pesat, dan kita harus terus berkomunikasi dan belajar dari China,"" kata Khamsan, seraya menambahkan bahwa menggelar dan berpartisipasi dalam kompetisi olahraga merupakan cara untuk mempererat persahabatan dan sikap saling membantu antara China dan negara-negara ASEAN.Pewarta: XinhuaEditor: Junaydi Suswanto    COPYRIGHT © ANTARA 2023 ",olahraga
" Kamis, 23 November 2023 15:50 WIB",Pewarta: Putri HanifaEditor: Aditya Eko Sigit Wicaksono  COPYRIGHT © ANTARA 2023,Sirkus F1 siap untuk balapan balapan pemungkas musim di Abu Dhabi,"     Jakarta (ANTARA) - Lima hari setelah menang di Las Vegas, Max Verstappen akan menunggangi mobil Red Bull untuk kali terakhir pada musim ini pada Jumat saat ia berupaya memperpanjang rekor kemenangan di Grand Prix Abu Dhabi.   Juara dunia tiga kali itu mungkin akan kelelahan dan mengalami jet lag karena perbedaan waktu 12 jam menyusul empat balapan yang ia jalani di Benua Amerika.   Pada balapan malam di Las Vegas pekan lalu, Verstappen merayakan kemenangan ke-18 dari 21 Grand Prix di kalender 2023 serta kemenangan ke-53 dalam karier sang pebalap Belanda.   Capaian itu membuatnya menyamai prestasi juara dunia empat kali Sebastian Vettel, yang masih kalah banyak jumlah kemenangannya dari Michael Schumacher (91) dan Lewis Hamilton (103).   Dengan Sergio Perez finis ketiga di Vegas, di belakang mobil Ferrari Charles Leclerc, hal itu mengonfirmasi dua peringkat pebalap teratas menjadi milik Red Bull, yang mengalahkan pebalap Mercedes Lewis Hamilton.   Red Bull juga telah memenangi gelar konstruktor dengan gap lebih dari 400 poin.   Hal itu juga menjadi kali pertama sejak 2015 tiga peringkat teratas pebalap telah dikunci sebelum balapan pemungkas musim.  Baca juga: Ricciardo fokus bangun kepercayaan diri untuk hadapi sisa musim 2023   Saking dominannya Red Bull pada musim ini, tidak ada tim kompetitor saat ini yang mengklaim 400 poin konstruktor.   Oleh karena itu, tontonan utama di Sirkuit Yas Marina pada akhir pekan nanti adalah pertarungan perebutan poin antara Mercedes (392 poin), yang berupaya mempertahankan peringkat kedua konstruktor dari ancaman Ferrari (388 poin).   Bos Mercedes Toto Wolff mengakui bahwa ini adalah akhir pekan balapan yang kritis dan menyatakan kesiapannya untuk memberikan yang terbaik.   ""Ferrari telah menyusutkan kesenjangan di konstruktor menjadi hanya empat poin dan kami siap memberikan yang terbaik di Abu Dhabi untuk keluar sebagai yang terbaik,"" kata Wolff dikutip AFP.   ""Mereka telah menunjukkan performa yang bagus belakangan ini, tetapi kami tahu kami belum maksimal dalam beberapa balapan terakhir. Ini akan menjadi pertarungan ketat dan semoga kami bisa menyelesaikan musim dengan performa kuat dan berada di posisi terdepan,” ujar Toto.  Baca juga: Mercedes sebut sudah mulai lakukan pembaruan mobil untuk 2024   Sementara itu, McLaren dan Aston Martin terlibat dalam pertempuran sengit untuk meraih posisi keempat di klasemen tim, dengan masing-masing memiliki pembalap-pembalap andal seperti Carlos Sainz dan Fernando Alonso.   Kedua pembalap Spanyol itu, bersama dengan para rivalnya seperti Lando Norris dari McLaren dan Charles Leclerc dari Ferrari, tengah mempersiapkan diri untuk bertarung dalam balapan yang bisa menentukan posisi akhir di klasemen pembalap.   Carlos Sainz, dengan satu kemenangan musim ini, memiliki keunggulan. Namun, persaingan yang ketat dari Lando Norris dan Charles Leclerc dapat membuat balapan nanti semakin menarik.   Meskipun Verstappen diunggulkan dengan dominasinya di sirkuit Yas Marina sejak 2020, absennya Lewis Hamilton dari sesi latihan bebas pertama menambah elemen misteri pada persaingan ini.   Pasalnya, tim Mercedes akan memberikan kesempatan kepada pembalap junior Frederik Vesti melakoni debut sesi latihan bebas di F1 dengan mobil Hamilton.   Adapun, dengan dinamika balapan yang tak terduga, Abu Dhabi siap menjadi panggung spektakuler bagi penutup musim F1 yang tak terlupakan.  Baca juga: Hamilton: GP Las Vegas jawab kritik miring terkait balapan anyar di F1Pewarta: Putri HanifaEditor: Aditya Eko Sigit Wicaksono    COPYRIGHT © ANTARA 2023 ",olahraga
" Kamis, 23 November 2023 15:35 WIB",Pewarta: XinhuaEditor: Junaydi Suswanto  COPYRIGHT © ANTARA 2023,"Hardiansyah Muliang, pesepak takraw Makassar bercerita tentang China","     Guizhou, China (ANTARA) - Sebagai olahraga tradisional yang berasal dari kawasan Asia Tenggara, sepak takraw kerap dipertandingkan oleh negara-negara serumpun Asia Tenggara.   Adalah Muhammad Hardiansyah Muliang, seorang atlet sepak takraw Indonesia yang berusia hampir 30 tahun dan lahir di Kota Makassar, Provinsi Sulawesi Selatan, tempat sepak takraw sangat populer.   Tidak saja banyak warga Makassar menggemari olahraga ini, sistem kompetisi sepak takraw di kota tersebut pun terdiri dari beberapa level.   Orang tua Muliang gemar bermain sepak takraw, dan Muliang telah mulai mengenal olahraga ini sejak usia 10 tahun.   Perlahan-lahan, dia pun mengawali perjalanannya untuk menjadi seorang pemain profesional. ""Atmosfer sepak takraw di kampung halaman saya sangat kental,"" tutur Muliang, seraya menambahkan bahwa sebelum menjadi pemain tim nasional, dia mengikuti latihan dengan bantuan teman-teman sekelas dan gurunya sejak sekolah dasar.   Sedikit demi sedikit, bakat Muliang pun mulai terlihat.   Pada 2018, Muliang mewakili tim nasional Indonesia untuk pertama kalinya di ajang Asian Games ke-18 yang digelar di Jakarta. Dalam keikutsertaannya itu, Muliang untuk pertama kalinya melihat banyak pemain sepak takraw papan atas dari seluruh dunia berkumpul untuk bertanding di ajang Asian Games.   ""Saya sangat antusias, dan untuk pertama kalinya saya merasa sepak takraw telah menghubungkan saya dengan dunia yang luas,"" kata Muliang.   Pada 2019, Muliang melakukan perjalanan pertamanya ke China, dan tiba di Kota Kunming, ibu kota Provinsi Yunnan, bersama tim nasional sepak takraw Indonesia untuk berpartisipasi dalam Kejuaraan Sepak Takraw Asia yang digelar di Kunming.   Deretan bangunan yang indah dan layanan penuh perhatian yang diberikan oleh penyelenggara acara di kota itu membuat Muliang sangat terkesan.   ""Iklim di Kunming sangat bagus, dan kotanya sangat cantik, terutama gedung-gedungnya yang sangat megah. Staf layanan acara juga sangat ramah kepada kami, dan saya merasa sangat tersentuh!"" ujar Muliang, seraya menambahkan bahwa pengalaman itu memberinya impresi yang konkret, nyata, dan indah tentang China.   ""Sebelum saya tiba di China, saya tidak tahu banyak mengenai China,"" kata Muliang.   Tahun 2023 ini, empat tahun setelah kunjungan pertamanya, Muliang datang ke China untuk kedua kalinya dalam rangka mengikuti Asian Games ke-19 yang diselenggarakan di Hangzhou, Provinsi Zhejiang, China timur.   ""Saya dan rekan-rekan satu tim berpartisipasi dalam kompetisi sepak takraw di Kota Jinhua, Zhejiang, yang merupakan salah satu kota penyelenggara Asian Games. Kami tinggal di sana selama sekitar setengah bulan dan saya merasa sangat nyaman,"" tutur Muliang.   Dia menambahkan bahwa ketika kembali ke China empat tahun kemudian, dia menemukan sisi China yang lebih modern di Jinhua, dengan gedung-gedung pencakar langit yang lebih megah, barang-barang yang beragam, perjalanan sehari-hari dan transaksi bisnis yang nyaman, serta makanan yang lezat.   ""China telah berkembang dengan pesat, dan setiap kali Anda datang ke China, Anda dapat melihat kejutan yang berbeda,"" ujar Muliang.   Kunjungan ke Huishui merupakan kunjungan Muliang yang ketiga kalinya ke China.   Di wilayah kecil berpopulasi sekitar 480.000 jiwa ini, dengan kelompok etnis minoritas mencapai lebih dari 60 persen, Muliang juga menemukan banyak kejutan serta wajah baru dari pembangunan China.   ""Di wilayah Huishui, kita masih dapat melihat gedung-gedung bertingkat, jalanan yang rapi, dan keramaian yang tak ada habisnya, yang membuat saya sangat terkesan,"" tutur Muliang, yang juga sangat tersentuh oleh kepedulian pemerintah daerah serta dorongan semangat dari warga setempat.   ""Saat ini musim dingin, dan suhu di sini relatif rendah. Ketika kami tiba di sini selama dua hari pertama, pemerintah setempat dengan penuh perhatian membagikan mantel hangat kepada kami,"" ucap Muliang, seraya menambahkan bahwa selama pertandingan, penonton lokal juga tampak sangat antusias.   Mereka tidak hanya bertepuk tangan dan bersorak sorai untuk mengapresiasi penampilan luar biasa dari para pemain, tetapi juga antusias berfoto dengan para pemain usai pertandingan, sehingga membuat pemain merasa disambut hangat.   ""Di masa mendatang, jika saya tidak bisa datang ke China untuk berpartisipasi dalam kompetisi sepak takraw, saya harapkan bisa sering datang ke China untuk berkunjung,"" kata Muliang, seraya menambahkan bahwa masih banyak tempat yang penuh kejutan di China yang menantinya untuk dijelajahi dan diapresiasi.Pewarta: XinhuaEditor: Junaydi Suswanto    COPYRIGHT © ANTARA 2023 ",olahraga
" Kamis, 23 November 2023 15:27 WIB",,Lanal Banten gelar lomba renang jaring bibit atlet,"                     ANTARA - Pangkalan TNI Angkatan Laut (Lanal) Banten menggelar lomba renang untuk kategori antarpelajar tingkat SMA dan instansi yang digelar di ASA Sport Center, Kota Cilegon, Kamis (23/11). Komandan Lanal Banten Kolonel Laut (P) Nopriadi mengatakan kegiatan ini dilakukan dalam rangka memperingati Hari Armada ke-78 Tahun 2023, untuk menjaring bibit atlet di wilayah Banten, khususnya Kota Cilegon. (Susmiatun Hayati/Agha Yuninda Maulana/GraciaSimanjuntak)        ",olahraga
" Kamis, 23 November 2023 14:14 WIB",Pewarta: Arnidhya Nur ZhafiraEditor: Junaydi Suswanto  COPYRIGHT © ANTARA 2023,Bermain sabar bawa Leo/Daniel maju ke perempat final China Masters," Kunci kemenangan tadi kami bermain lebih sabar dan tidak mau terpancing lawanJakarta (ANTARA) - Pasangan ganda putra Indonesia Leo Rolly Carnando/Daniel Marthin mengatakan bermain dengan sabar adalah kunci utama kemenangan mereka di babak 16 besar dan membawa mereka untuk maju ke partai perempat final China Masters 2023.    Adapun Leo/Daniel memenangkan pertandingan rubber game atas pasangan Denmark Kim Astrup/Anders Skaarup Rasmussen 21-18, 16-21, 21-11 di babak kedua yang digelar di Shenzhen, Kamis.    “Kunci kemenangan tadi kami bermain lebih sabar dan tidak mau terpancing lawan. Apalagi lawan sering memancing emosi kami. Selain itu pertahanannya juga rapat, makanya kami harus lebih sabar,” kata Daniel dalam keterangan singkat PP PBSI yang diterima di Jakarta.    Mengenai jalannya pertandingan, Leo dan Daniel sepakat bahwa kedua pasangan sudah sering bertemu, sehingga telah mengetahui kelebihan dan kekurangan masing-masing.  Baca juga: Leo/Daniel tutup aksinya di Hong Kong Open 2023 sebagai runner-up    Di gim pertama dan kedua, pasangan Indonesia masih mempertahankan pola permainan yang cukup solid. Terbukti dari serangan-serangan yang ditujukan kepada Astrup/Rasmussen pun membuahkan poin-poin penting.    Pun di gim ketiga. Meskipun Leo/Daniel sempat kalah di gim kedua atas ganda putra peringkat tiga dunia itu, mereka tidak mengendurkan semangat dan malah tampil lebih percaya diri dan dominan.    “Secara permainan, kami dan lawan sudah sama-sama tahu kelebihan dan kekurangannya. Tadi siapa yang lebih siap di lapangan yang akan jadi pemenang,” kata Daniel.    Dengan ini, maka Leo/Daniel akan bertemu dengan unggulan pertama India Satwiksairaj Rankireddy/Chirag Shetty di babak perempat final turnamen BWF Super 750.  Baca juga: Upaya rubber game Leo/Daniel tak tembus pertahanan Rankireddy/Shetty    “Besok lawan pasangan India, kualitas pukulan satu-duanya kami harus lebih unggul. Serangan lawan itu bisa dikatakan lebih bagus. Makanya harus bisa diantisipasi dengan pukulan satu-dua kami yang bagus,” kata Daniel.    “Di turnamen ini target kami tentu ingin menjadi juara. Tetapi itu juga tidak mudah. Apa pun hasil pertandingan besok, kami akan mencoba dan memberikan yang terbaik. Apalagi secara permainan kami juga belum bagus seperti yang diharapkan. Tetapi kami selalu berdoa semoga diberi kelancaran dan jauh dari cedera,” ujar Leo menambahkan.    Leo/Daniel baru menjadi satu-satunya wakil Indonesia yang lolos ke delapan besar China Masters 2023. Namun, ada tiga pasangan ganda putra lainnya yakni Fajar Alfian/Muhammad Rian Ardianto serta Hendra Setiawan/Mohammad Ahsan, dan Pramudya Kusumawardana/Yeremia Erich Yoche Yacob yang akan berlaga di hari ini.    Selain itu, ada juga ganda putri Apriyani Rahayu/Siti Fadia Silva Ramadhanti, yang akan berhadapan dengan wakil Prancis Margot Lambert/Anne Tran di 16 besar.  Baca juga: Dejan/Gloria soroti konsistensi saat berlaga di China Masters  Baca juga: Ginting ungkap faktor kekalahan di babak 16 besar China Masters  Baca juga: Rinov/Pitha evaluasi kekalahan di 16 besar China MastersPewarta: Arnidhya Nur ZhafiraEditor: Junaydi Suswanto    COPYRIGHT © ANTARA 2023 ",olahraga
" Kamis, 23 November 2023 13:54 WIB",Pewarta: Roy Rosa BachtiarEditor: Junaydi Suswanto  COPYRIGHT © ANTARA 2023,Ajang Aquabike motivasi Dairi gelar agenda berkonsep sport tourism,"     Dairi (ANTARA) - Bupati Dairi Eddy Keleng Ate Berutu menuturkan, pelaksanaan ajang Kejuaraan Dunia Jetski Aquabike di Kabupaten Dairi menjadi motivasi untuk terus konsisten menggelar kegiatan berkonsep sport tourism di wilayahnya.   Menurut Eddy, Kabupaten Dairi tak hanya mampu menggelar ajang olahraga akuatik seperti lomba jetski di Danau Toba, namun juga menawarkan aktivitas menarik lainnya yang didukung kondisi geografis yang indah.   ""Kami akan beri fokus juga pada sport tourism di Kabupaten Dairi. Kami juga punya hiking, sepeda, lari, climbing, dan sebagainya. Saya pikir ini (Aquabike) adalah pintu masuk bagi wisatawan untuk melihat hal luar biasa dari Dairi, dengan menikmati alam sambil berolahraga,"" kata Eddy saat ditemui di Pantai Tao Silalahi Danau Toba, Dairi, Sumut, Kamis.  Baca juga: Lomba dayung ramaikan Aquabike Jetski World Championship Danau Toba   Kabupaten Dairi menjadi salah satu tuan rumah pelaksanaan ajang Kejuaraan Dunia Jetski Aquabike 2023 untuk kategori endurance. Sebanyak 22 pembalap dari dalam dan luar negeri bersaing untuk menjadi juara dalam lomba yang berlangsung di Pantai Tao Silalahi.   Lomba jetski menjadi kegiatan olahraga baru yang menarik minat penonton dan wisatawan untuk datang ke Dairi. Selain Dairi, dua kabupaten yang menjadi tuan rumah lomba endurance jetski Aquabike ialah Kabupaten Karo dan Kabupaten Samosir.  Baca juga: Pembalap Prancis menangi balap endurance jetski Aquabike Karo 2023   Eddy menuturkan bahwa munculnya nama Kabupaten Dairi menjadi salah satu tuan rumah bagi olahraga air yang lebih dulu terkenal di Eropa tersebut ialah berkat dedikasi pihaknya dalam melalui proses seleksi ketat.   Bahkan setelah rampung menggelar balap endurance Aquabike 2023, pihaknya akan dievaluasi dan diuji ulang oleh panitia utama untuk menentukan kelayakan pelaksanaan pada tahun berikutnya.   ""Kami melalui proses seleksi, diuji, dan ada kunjungan. Hingga akhirnya diputuskan kami menjadi tuan rumah. Ini babak baru bagi kami, dengan membuktikan kami mampu menggelar ini (Aquabike). Kami harap masih bisa konsisten menjaga kualitas sebagai tuan rumah selam lima tahun ke depan,"" ungkap Eddy.  Baca juga: Pemecahan rekor MURI Tari Cawan ramaikan agenda Aquabike di DairiPewarta: Roy Rosa BachtiarEditor: Junaydi Suswanto    COPYRIGHT © ANTARA 2023 ",olahraga
" Sabtu, 25 November 2023 12:30 WIB",Pewarta: Narda Margaretha SinambelaEditor: Fransiska Ninditya  COPYRIGHT © ANTARA 2023,Anies Baswedan ajak relawan AMIN bersatu untuk perubahan Indonesia," jika kita bersatu,insyaallah, kita bisa membawa perubahan bagi IndonesiaJakarta (ANTARA) - Calon presiden (capres) nomor urut 1 Anies Baswedan mengajak relawan Anies-Muhaimin (AMIN) menjaga solidaritas dan saling mendukung untuk mencapai tujuan bersama, yaitu menciptakan Indonesia yang lebih makmur dan adil.   ""Kami berharap dapat memenangkan (suara di Kabupaten) Kuningan; dan jika kami menang di Kuningan, kami yakin bisa menang di Jawa Barat; dan jika kita bersatu,insyaallah, kita bisa membawa perubahan bagi Indonesia,"" kata Anies dalam keterangan yang diterima di Jakarta, Sabtu.   Aniesmenyampaikan hal itu secara daring dalam acara Konsolidasi Gerakan Rakyat untuk Perubahan di Kabupaten Kuningan, Jawa Barat, Jumat (24/11).   Oleh karena itu, Anies menekankan pentingnya membangun tim pengawasan dan pemantauan yang kuat untuk memastikan kelancaran proses pemilihan di setiap tempat pemungutan suara (TPS) pada Pemilu Serentak 2024.   Tak hanya itu, mantan gubernur DKI Jakarta itu juga menyampaikan rasa hormat dan terima kasih kepada semua pihak yang telah memilih untuk terlibat dalam ikhtiar besar menuju Indonesia lebih sejahtera dan adil.   ""Bersama-sama akan mampu membawa perubahan positif bagi Indonesia,"" tambah Anies.  Baca juga: Anies sebut tiga mantan pimpinan KPK gabung Timnas AMIN   Sementara itu, calon legislatif (caleg) DPR RI Dony Endrassanto memastikanAnies Baswedan adalah pilihan tepat untuk memimpin Indonesia menuju arah yang lebih baik.   ""Warga Kuningan dapat memberikan dukungan maksimal dengan target memenangkan pasangan AMIN minimal 70 persen suara di wilayah tersebut,"" kataDony.   Dewan Pakar Timnas AMIN, Fahrus Zaman Fadhly, turut menambahkan soal pentingnya memilih pasangan AMIN.   Fahrus menekankan bahwa pasangan calon AniesBaswedan-MuhaiminIskandar memiliki karakteristik kepemimpinan yang mengikuti jejak Rasulullah MuhammadSaw, yaitu siddiq, amanah, tabligh, dan fathonah.   ""Dengan komitmen untuk menciptakan masyarakat yang baik dan sejahtera, Anies Baswedan dan Gus Muhaimin Iskandar dianggap sebagai pilihan yang sangat layak,"" ujar Fahrus.   Acara Konsolidasi Gerakan Rakyat untuk Perubahan itu juga dihadiri oleh berbagai tokoh ulama dan pemimpin masyarakat di Kabupaten Kuningan, Jawa Barat, yang ikut berkomitmen mendukung perubahan oleh AMIN.  Baca juga: Timprov AMIN garap tiga fokus utama demi menangkan Jatim di 2024Pewarta: Narda Margaretha SinambelaEditor: Fransiska Ninditya    COPYRIGHT © ANTARA 2023 ",politik
" Sabtu, 25 November 2023 12:27 WIB",,Suasana jalan sehat untuk dukung Prabowo Gibran di Makassar,,politik
" Sabtu, 25 November 2023 11:17 WIB",Pewarta: AprionisEditor: Agus Setiawan  COPYRIGHT © ANTARA 2023,"KPU Babel nobar ""kejar janji"" sosialisasikan tahap Pemilu 2024"," ""Kegiatan nobar ini untuk menambah pendidikan masyarakat, sehingga dapat meningkatkan partisipasi masyarakat pada pemilu nanti,""Pangkalpinang (ANTARA) - KPU Provinsi Kepulauan Bangka Belitung menggelar nonton bareng (nobar) flim berjudul kejar janji, guna menyosialisasikan tahapan Pemilu 2024 kepada masyarakat di Negeri Serumpun Sebalai itu.   ""Kegiatan nobar ini untuk menambah pendidikan masyarakat, sehingga dapat meningkatkan partisipasi masyarakat pada pemilu nanti,"" kata Ketua KPU Provinsi Kepulauan Babel Husin usai nobar flim kejar janji di Bioskop XXI Pangkalpinang, Jumat malam.   Ia mengatakan flim berjudul kejar janji ini diproduksi KBBI berisikan tentang tahapan pemilu dan memberikan pendidikan politik pemilih, guna meningkatkan partisipasi masyarakat khususnya pemilih pemula pada Pemilu 2024.   ""Kami berharap dengan adanya nobar ini masyarakat lebih peduli dan tidak apatis, tidak peduli, tidak bersemangat menyambut pesta demokrasi tahun depan,"" ujarnya.   Menurut dia dengan adanya kegiatan nobar bersama masyarakat di bioskop ini dapat memberikan motivasi kepada masyarakat, agar mereka lebih bersemangat, bergerak, sehingga menjadi perhatian bersama dalam memeriahkan dan menyukseskan pemilu yang aman, jujur, adil dan damai.   ""Pemilu ini adalah tanggung jawab bersama, bukan hanya tanggung jawab KPU sebagai penyelenggara pemilu tetapi menjadi perhatian seluruh masyarakat,"" katanya.   Ia berharap dengan adanya peluncuran dan pemutaran flim ini serta didukung kegiatan-kegiatan KPU dalam menyosialisasikan pemilu ini dapat meningkatkan partisipasi masyarakat untuk mewujudkan pesta demokrasi yang berkualitas dan bermatabat.   ""Kami berharap masyarakat yang tercatat sebagai pemilih tetap untuk datang ke tempat pemungutan suara menggunakan hak pilihnya memilih calon presiden, kepala daerah dan wakil rakyat pusat maupun daerah,"" katanya.Pewarta: AprionisEditor: Agus Setiawan    COPYRIGHT © ANTARA 2023 ",politik
